,edit_count,sentiment_mean,neg_sentiment_ratio
2023-03-22,0.7666666666666667,-0.2742910636795892,0.3833333333333334
2023-03-23,0.8,-0.30717721912595963,0.4000000000000001
2023-03-24,0.7666666666666667,-0.27394268645180603,0.36666666666666664
2023-03-25,0.7333333333333333,-0.24075422419442072,0.3333333333333333
2023-03-26,0.7333333333333333,-0.24075422419442072,0.3333333333333333
2023-03-27,0.7333333333333333,-0.24075422419442072,0.3333333333333333
2023-03-28,0.6666666666666666,-0.28181263738208345,0.35555555555555557
2023-03-29,0.6666666666666666,-0.2823325349224938,0.35555555555555557
2023-03-30,0.7,-0.31559660567177666,0.38888888888888895
2023-03-31,0.6666666666666666,-0.282284441921446,0.35555555555555557
2023-04-01,0.5666666666666667,-0.2659236073493958,0.33333333333333337
2023-04-02,0.5333333333333333,-0.23277257879575095,0.3
2023-04-03,0.43333333333333335,-0.23270778656005858,0.3
2023-04-04,0.43333333333333335,-0.23270778656005858,0.3
2023-04-05,0.4,-0.26511287887891133,0.3
2023-04-06,0.4,-0.26511287887891133,0.3
2023-04-07,0.4,-0.26511287887891133,0.3
2023-04-08,0.36666666666666664,-0.23238774140675864,0.26666666666666666
2023-04-09,0.3333333333333333,-0.19907542665799458,0.23333333333333336
2023-04-10,0.3333333333333333,-0.19907542665799458,0.23333333333333336
2023-04-11,0.36666666666666664,-0.16572783390680948,0.2166666666666667
2023-04-12,0.36666666666666664,-0.16572783390680948,0.2166666666666667
2023-04-13,0.36666666666666664,-0.16572783390680948,0.2166666666666667
2023-04-14,0.36666666666666664,-0.16572783390680948,0.2166666666666667
2023-04-15,0.36666666666666664,-0.16572783390680948,0.2166666666666667
2023-04-16,0.36666666666666664,-0.16572783390680948,0.2166666666666667
2023-04-17,0.36666666666666664,-0.16572783390680948,0.2166666666666667
2023-04-18,0.36666666666666664,-0.16572783390680948,0.2166666666666667
2023-04-19,0.36666666666666664,-0.16572783390680948,0.2166666666666667
2023-04-20,0.3333333333333333,-0.13256966670354206,0.18333333333333338
2023-04-21,0.3,-0.16571514209111532,0.18333333333333338
2023-04-22,0.23333333333333334,-0.16612097422281902,0.18333333333333338
2023-04-23,0.23333333333333334,-0.16612097422281902,0.18333333333333338
2023-04-24,0.23333333333333334,-0.16612097422281902,0.18333333333333338
2023-04-25,0.23333333333333334,-0.16612097422281902,0.18333333333333338
2023-04-26,0.23333333333333334,-0.16612097422281902,0.18333333333333338
2023-04-27,0.2,-0.1330657442410787,0.15000000000000002
2023-04-28,0.16666666666666666,-0.09975051681200663,0.11666666666666668
2023-04-29,0.13333333333333333,-0.0664864460627238,0.08333333333333334
2023-04-30,0.13333333333333333,-0.0664864460627238,0.08333333333333334
2023-05-01,0.13333333333333333,-0.0664864460627238,0.08333333333333334
2023-05-02,0.13333333333333333,-0.0664864460627238,0.08333333333333334
2023-05-03,0.1,-0.033266309897104905,0.05000000000000002
2023-05-04,0.1,-0.033266309897104905,0.05000000000000002
2023-05-05,0.1,-0.033266309897104905,0.05000000000000002
2023-05-06,0.1,-0.033266309897104905,0.05000000000000002
2023-05-07,0.1,-0.033266309897104905,0.05000000000000002
2023-05-08,0.1,-0.033266309897104905,0.05000000000000002
2023-05-09,0.1,-0.033266309897104905,0.05000000000000002
2023-05-10,0.1,-0.033266309897104905,0.05000000000000002
2023-05-11,0.1,-0.03348401685555777,0.05000000000000002
2023-05-12,0.1,-0.03348401685555777,0.05000000000000002
2023-05-13,0.1,-0.03348401685555777,0.05000000000000002
2023-05-14,0.1,-0.03348401685555777,0.05000000000000002
